,code,name,c_name
0,600176,中国巨石,玻璃行业
1,600184,光电股份,玻璃行业
2,600293,三峡新材,玻璃行业
3,600529,山东药玻,玻璃行业
4,600552,凯盛科技,玻璃行业
5,600586,金晶科技,玻璃行业
6,600629,华建集团,玻璃行业
7,600819,耀皮玻璃,玻璃行业
8,600876,洛阳玻璃,玻璃行业
9,601636,旗滨集团,玻璃行业
10,603021,山东华鹏,玻璃行业
11,603601,再升科技,玻璃行业
12,000012,南 玻Ａ,玻璃行业
13,002571,*ST德力,玻璃行业
14,002623,亚玛顿,玻璃行业
15,300093,金刚玻璃,玻璃行业
16,300160,秀强股份,玻璃行业
17,300196,长海股份,玻璃行业
18,300395,菲利华,玻璃行业
19,600072,中船科技,船舶制造
20,600150,中国船舶,船舶制造
21,600685,中船防务,船舶制造
22,601890,亚星锚链,船舶制造
23,601989,中国重工,船舶制造
24,002608,江苏国信,船舶制造
25,300008,天海防务,船舶制造
26,300123,太阳鸟,船舶制造
27,600037,歌华有线,传媒娱乐
28,600088,中视传媒,传媒娱乐
29,600234,ST山水,传媒娱乐
30,600373,中文传媒,传媒娱乐
31,600551,时代出版,传媒娱乐
32,600633,浙数文化,传媒娱乐
33,600637,东方明珠,传媒娱乐
34,600757,长江传媒,传媒娱乐
35,600825,新华传媒,传媒娱乐
36,600831,广电网络,传媒娱乐
37,600959,江苏有线,传媒娱乐
38,601098,中南传媒,传媒娱乐
39,601801,皖新传媒,传媒娱乐
40,601928,凤凰传媒,传媒娱乐
41,601929,吉视传媒,传媒娱乐
42,601999,出版传媒,传媒娱乐
43,000156,华数传媒,传媒娱乐
44,000504,南华生物,传媒娱乐
45,000607,华媒控股,传媒娱乐
46,000665,湖北广电,传媒娱乐
47,000719,大地传媒,传媒娱乐
48,000793,华闻传媒,传媒娱乐
49,000835,长城动漫,传媒娱乐
50,000917,电广传媒,传媒娱乐
51,002071,长城影视,传媒娱乐
52,002143,印纪传媒,传媒娱乐
53,002181,粤 传 媒,传媒娱乐
54,002238,天威视讯,传媒娱乐
55,002292,奥飞娱乐,传媒娱乐
56,002624,完美世界,传媒娱乐
57,002712,思美传媒,传媒娱乐
58,002739,万达电影,传媒娱乐
59,300027,华谊兄弟,传媒娱乐
60,300133,华策影视,传媒娱乐
61,300148,天舟文化,传媒娱乐
62,300251,光线传媒,传媒娱乐
63,300291,华录百纳,传媒娱乐
64,300336,新文化,传媒娱乐
65,300364,中文在线,传媒娱乐
66,300426,唐德影视,传媒娱乐
67,600011,华能国际,电力行业
68,600021,上海电力,电力行业
69,600023,浙能电力,电力行业
70,600027,华电国际,电力行业
71,600098,广州发展,电力行业
72,600101,明星电力,电力行业
73,600110,诺德股份,电力行业
74,600116,三峡水利,电力行业
75,600131,岷江水电,电力行业
76,600236,桂冠电力,电力行业
77,600310,桂东电力,电力行业
78,600396,金山股份,电力行业
79,600452,涪陵电力,电力行业
80,600483,福能股份,电力行业
81,600505,西昌电力,电力行业
82,600509,天富能源,电力行业
83,600578,京能电力,电力行业
84,600642,申能股份,电力行业
85,600644,乐山电力,电力行业
86,600674,川投能源,电力行业
87,600726,华电能源,电力行业
88,600744,华银电力,电力行业
89,600769,祥龙电业,电力行业
90,600780,通宝能源,电力行业
91,600795,国电电力,电力行业
92,600863,内蒙华电,电力行业
93,600864,哈投股份,电力行业
94,600868,梅雁吉祥,电力行业
95,600869,智慧能源,电力行业
96,600886,国投电力,电力行业
97,600900,长江电力,电力行业
98,600969,郴电国际,电力行业
99,600979,广安爱众,电力行业
100,600995,文山电力,电力行业
101,601016,节能风电,电力行业
102,601991,大唐发电,电力行业
103,000027,深圳能源,电力行业
104,000037,深南电A,电力行业
105,000531,穗恒运Ａ,电力行业
106,000539,粤电力Ａ,电力行业
107,000543,皖能电力,电力行业
108,000600,建投能源,电力行业
109,000601,韶能股份,电力行业
110,000602,金马集团,电力行业
111,000690,宝新能源,电力行业
112,000720,新能泰山,电力行业
113,000722,湖南发展,电力行业
114,000767,漳泽电力,电力行业
115,000791,甘肃电投,电力行业
116,000862,银星能源,电力行业
117,000875,吉电股份,电力行业
118,000883,湖北能源,电力行业
119,000899,赣能股份,电力行业
120,000939,凯迪生态,电力行业
121,000958,东方能源,电力行业
122,000966,长源电力,电力行业
123,000993,闽东电力,电力行业
124,001896,豫能控股,电力行业
125,002039,黔源电力,电力行业
126,002479,富春环保,电力行业
127,002692,睿康股份,电力行业
128,300423,鲁亿通,电力行业
129,600112,*ST天成,电器行业
130,600202,哈空调,电器行业
131,600379,宝光股份,电器行业
132,600405,动力源,电器行业
133,600468,百利电气,电器行业
134,600482,中国动力,电器行业
135,600560,金自天正,电器行业
136,600577,精达股份,电器行业
137,600847,*ST万里,电器行业
138,600885,宏发股份,电器行业
139,601311,骆驼股份,电器行业
140,601616,广电电气,电器行业
141,603015,弘讯科技,电器行业
142,603606,东方电缆,电器行业
143,603703,盛洋科技,电器行业
144,603988,中电电机,电器行业
145,000049,德赛电池,电器行业
146,000922,*ST佳电,电器行业
147,002164,宁波东力,电器行业
148,002176,江特电机,电器行业
149,002249,大洋电机,电器行业
150,002266,浙富控股,电器行业
151,002298,中电鑫龙,电器行业
152,002309,中利集团,电器行业
153,002322,理工环科,电器行业
154,002334,英威腾,电器行业
155,002335,科华恒盛,电器行业
156,002339,积成电子,电器行业
157,002364,中恒电气,电器行业
158,002380,科远股份,电器行业
159,002452,长高集团,电器行业
160,002546,新联电子,电器行业
161,002576,通达动力,电器行业
162,002580,圣阳股份,电器行业
163,002606,大连电瓷,电器行业
164,002617,露笑科技,电器行业
165,002647,民盛金科,电器行业
166,002664,信质电机,电器行业
167,002665,首航节能,电器行业
168,002670,国盛金控,电器行业
169,002684,猛狮科技,电器行业
170,002706,良信电器,电器行业
171,002730,电光科技,电器行业
172,002733,雄韬股份,电器行业
173,300068,南都电源,电器行业
174,300140,中环装备,电器行业
175,300217,东方电热,电器行业
176,300222,科大智能,电器行业
177,300252,金信诺,电器行业
178,300265,通光线缆,电器行业
179,300274,阳光电源,电器行业
180,300283,温州宏丰,电器行业
181,300356,光一科技,电器行业
182,300376,易事特,电器行业
183,300403,地尔汉宇,电器行业
184,300407,凯发电气,电器行业
185,300438,鹏辉能源,电器行业
186,300447,全信股份,电器行业
187,600083,博信股份,电子器件
188,600151,航天机电,电子器件
189,600171,上海贝岭,电子器件
190,600183,生益科技,电子器件
191,600203,福日电子,电子器件
192,600206,有研新材,电子器件
193,600207,安彩高科,电子器件
194,600237,铜峰电子,电子器件
195,600353,旭光股份,电子器件
196,600355,精伦电子,电子器件
197,600360,华微电子,电子器件
198,600363,联创光电,电子器件
199,600401,*ST海润,电子器件
200,600460,士兰微,电子器件
201,600478,科力远,电子器件
202,600537,亿晶光电,电子器件
203,600563,法拉电子,电子器件
204,600584,长电科技,电子器件
205,600602,云赛智联,电子器件
206,600667,太极实业,电子器件
207,600703,三安光电,电子器件
208,600707,彩虹股份,电子器件
209,600747,*ST大控,电子器件
210,600817,*ST宏盛,电子器件
211,600980,北矿科技,电子器件
212,601012,隆基股份,电子器件
213,601231,环旭电子,电子器件
214,601908,京运通,电子器件
215,603005,晶方科技,电子器件
216,603118,共进股份,电子器件
217,603328,依顿电子,电子器件
218,603678,火炬电子,电子器件
219,000020,深华发Ａ,电子器件
220,000050,深天马Ａ,电子器件
221,000058,深 赛 格,电子器件
222,000068,华控赛格,电子器件
223,000413,东旭光电,电子器件
224,000536,华映科技,电子器件
225,000636,风华高科,电子器件
226,000670,盈方微,电子器件
227,000725,京东方Ａ,电子器件
228,000727,华东科技,电子器件
229,000733,振华科技,电子器件
230,000810,创维数字,电子器件
231,000823,超声电子,电子器件
232,002025,航天电器,电子器件
233,002045,国光电器,电子器件
234,002049,紫光国芯,电子器件
235,002055,得润电子,电子器件
236,002056,横店东磁,电子器件
237,002057,中钢天源,电子器件
238,002079,苏州固锝,电子器件
239,002104,恒宝股份,电子器件
240,002106,莱宝高科,电子器件
241,002119,康强电子,电子器件
242,002129,中环股份,电子器件
243,002134,*ST普林,电子器件
244,002137,麦达数字,电子器件
245,002138,顺络电子,电子器件
246,002139,拓邦股份,电子器件
247,002141,贤丰控股,电子器件
248,002156,通富微电,电子器件
249,002179,中航光电,电子器件
250,002185,华天科技,电子器件
251,002188,巴士在线,电子器件
252,002189,利达光电,电子器件
253,002199,东晶电子,电子器件
254,002218,拓日新能,电子器件
255,002222,福晶科技,电子器件
256,002241,歌尔股份,电子器件
257,002273,水晶光电,电子器件
258,002288,超华科技,电子器件
259,002289,宇顺电子,电子器件
260,002371,北方华创,电子器件
261,002388,新亚制程,电子器件
262,002389,南洋科技,电子器件
263,002402,和而泰,电子器件
264,002426,胜利精密,电子器件
265,002436,兴森科技,电子器件
266,002449,国星光电,电子器件
267,002456,欧菲光,电子器件
268,002463,沪电股份,电子器件
269,002475,立讯精密,电子器件
270,002484,江海股份,电子器件
271,002504,*ST弘高,电子器件
272,002506,协鑫集成,电子器件
273,002512,达华智能,电子器件
274,002579,中京电子,电子器件
275,002587,奥拓电子,电子器件
276,002600,江粉磁材,电子器件
277,002618,丹邦科技,电子器件
278,002636,金安国纪,电子器件
279,002638,勤上股份,电子器件
280,002654,万润科技,电子器件
281,002655,共达电声,电子器件
282,002724,海洋王,电子器件
283,002729,好利来,电子器件
284,002745,木林森,电子器件
285,300014,亿纬锂能,电子器件
286,300029,天龙光电,电子器件
287,600050,中国联通,电子信息
288,600074,保千里,电子信息
289,600076,康欣新材,电子信息
290,600100,同方股份,电子信息
291,600105,永鼎股份,电子信息
292,600130,波导股份,电子信息
293,600198,大唐电信,电子信息
294,600271,航天信息,电子信息
295,600288,大恒科技,电子信息
296,600289,亿阳信通,电子信息
297,600330,天通股份,电子信息
298,600345,长江通信,电子信息
299,600406,国电南瑞,电子信息
300,600410,华胜天成,电子信息
301,600446,金证股份,电子信息
302,600455,博通股份,电子信息
303,600476,湘邮科技,电子信息
304,600485,信威集团,电子信息
305,600487,亨通光电,电子信息
306,600498,烽火通信,电子信息
307,600522,中天科技,电子信息
308,600536,中国软件,电子信息
309,600556,ST慧球,电子信息
310,600562,国睿科技,电子信息
311,600570,恒生电子,电子信息
312,600571,信雅达,电子信息
313,600588,用友网络,电子信息
314,600601,方正科技,电子信息
315,600608,*ST沪科,电子信息
316,600654,*ST中安,电子信息
317,600677,航天通信,电子信息
318,600680,*ST上普,电子信息
319,600718,东软集团,电子信息
320,600728,佳都科技,电子信息
321,600734,实达集团,电子信息
322,600756,浪潮软件,电子信息
323,600764,中电广通,电子信息
324,600775,南京熊猫,电子信息
325,600776,东方通信,电子信息
326,600797,浙大网新,电子信息
327,600804,鹏博士,电子信息
328,600845,宝信软件,电子信息
329,600850,华东电脑,电子信息
330,600990,四创电子,电子信息
331,601519,*ST智慧,电子信息
332,603000,人民网,电子信息
333,603019,中科曙光,电子信息
334,603025,大豪科技,电子信息
335,603636,南威软件,电子信息
336,000021,深科技,电子信息
337,000032,深桑达Ａ,电子信息
338,000035,中国天楹,电子信息
339,000063,中兴通讯,电子信息
